本科层次,目标层次,投稿数,本科层次投稿总数,组内比例
清北,清北,5,5,1.0
清北,华五,0,5,0.0
清北,C9,0,5,0.0
清北,中九,0,5,0.0
清北,末九,0,5,0.0
清北,211,0,5,0.0
清北,双非,0,5,0.0
清北,四非,0,5,0.0
清北,未填写,0,5,0.0
华五,清北,18,69,0.2608695652173913
华五,华五,45,69,0.6521739130434783
华五,C9,2,69,0.028985507246376812
华五,中九,4,69,0.057971014492753624
华五,末九,0,69,0.0
华五,211,0,69,0.0
华五,双非,0,69,0.0
华五,四非,0,69,0.0
华五,未填写,0,69,0.0
C9,清北,14,78,0.1794871794871795
C9,华五,51,78,0.6538461538461539
C9,C9,6,78,0.07692307692307693
C9,中九,2,78,0.02564102564102564
C9,末九,0,78,0.0
C9,211,0,78,0.0
C9,双非,0,78,0.0
C9,四非,2,78,0.02564102564102564
C9,未填写,3,78,0.038461538461538464
中九,清北,79,342,0.2309941520467836
中九,华五,193,342,0.564327485380117
中九,C9,35,342,0.1023391812865497
中九,中九,34,342,0.09941520467836257
中九,末九,0,342,0.0
中九,211,0,342,0.0
中九,双非,1,342,0.0029239766081871343
中九,四非,0,342,0.0
中九,未填写,0,342,0.0
末九,清北,42,353,0.11898016997167139
末九,华五,169,353,0.47875354107648727
末九,C9,54,353,0.1529745042492918
末九,中九,83,353,0.23512747875354106
末九,末九,0,353,0.0
末九,211,2,353,0.0056657223796034
末九,双非,2,353,0.0056657223796034
末九,四非,1,353,0.0028328611898017
末九,未填写,0,353,0.0
211,清北,41,590,0.06949152542372881
211,华五,174,590,0.29491525423728815
211,C9,45,590,0.07627118644067797
211,中九,235,590,0.3983050847457627
211,末九,44,590,0.07457627118644068
211,211,42,590,0.0711864406779661
211,双非,7,590,0.011864406779661017
211,四非,2,590,0.003389830508474576
211,未填写,0,590,0.0
双非,清北,5,98,0.05102040816326531
双非,华五,13,98,0.1326530612244898
双非,C9,6,98,0.061224489795918366
双非,中九,44,98,0.4489795918367347
双非,末九,13,98,0.1326530612244898
双非,211,16,98,0.16326530612244897
双非,双非,1,98,0.01020408163265306
双非,四非,0,98,0.0
双非,未填写,0,98,0.0
四非,清北,6,202,0.0297029702970297
四非,华五,23,202,0.11386138613861387
四非,C9,13,202,0.06435643564356436
四非,中九,90,202,0.44554455445544555
四非,末九,32,202,0.15841584158415842
四非,211,37,202,0.18316831683168316
四非,双非,0,202,0.0
四非,四非,1,202,0.0049504950495049506
四非,未填写,0,202,0.0
